Polygon;order;X;Y
6287;1;529512.85;5074231.782
6287;2;529534.085;5074238.559
6287;3;529541.992;5074211.677
6287;4;529527.986;5074165.367
6287;5;529491.354;5074175
6287;6;529462.248;5074187.731
6287;7;529471.058;5074207.611
6287;8;529472.865;5074242.4
6287;9;529481.902;5074241.722
6287;10;529492.971;5074232.912
6296;1;529552.635;5074295.223
6296;2;529548.533;5074297.859
6296;3;529494.051;5074332.961
6296;4;529499.178;5074339.873
6296;5;529514.991;5074346.876
6296;6;529531.256;5074353.201
6296;7;529536.678;5074355.686
6296;8;529545.714;5074365.626
6296;9;529553.395;5074345.069
6296;10;529558.365;5074319.542
6296;11;529560.704;5074303.517
25107;1;529162.166;5074131.98
25107;2;529153.356;5074129.269
25107;3;529147.708;5074138.531
25107;4;529131.443;5074192.748
25107;5;529178.209;5074221
25107;6;529175.494;5074132.884
25108;1;529206.443;5074226.86
25108;2;529200.344;5074131.302
25108;3;529175.494;5074132.658
25108;4;529178.209;5074221
25109;1;529252.979;5074236.348
25109;2;529247.332;5074128.592
25109;3;529200.344;5074131.302
25109;4;529206.217;5074226.634
25109;5;529212.543;5074232.056
25110;1;529319.168;5074098.735
25110;2;529306.495;5074098.47
25110;3;529296.352;5074098.058
25110;4;529278.947;5074109.308
25110;5;529247.105;5074129.232
25110;6;529250.493;5074182.998
25110;7;529283.249;5074180.739
25110;8;529280.527;5074141.598
25110;9;529311.035;5074131.717
25117;1;529227.418;5074102.52
25117;2;529307.388;5074023.68
25117;3;529271.921;5073992.731
25117;4;529193.758;5074067.505
25119;1;529285.284;5074213.983
25119;2;529283.476;5074181.001
25119;3;529250.269;5074183.034
25119;4;529252.753;5074236.122
25119;5;529284.606;5074240.64
25119;6;529285.284;5074234.089
25120;1;529332.046;5074166.769
25120;2;529283.476;5074180.775
25120;3;529285.735;5074233.185
25120;4;529315.781;5074234.541
25120;5;529347.859;5074227.989
25121;1;529310.792;5074131.753
25121;2;529280.521;5074141.692
25121;3;529283.458;5074180.548
25121;4;529331.801;5074166.316
25122;1;529379.015;5074114.358
25122;2;529354.139;5074099.599
25122;3;529319.828;5074098.319
25122;4;529311.47;5074131.301
25122;5;529332.253;5074166.09
25122;6;529396.184;5074150.051
25123;1;529509.136;5074169.763
25123;2;529514.332;5074168.577
25123;3;529529.467;5074165.019
25123;4;529524.046;5074148.98
25123;5;529501.907;5074146.721
25123;6;529470.507;5074150.562
25123;7;529439.106;5074115.547
25123;8;529389.181;5074092.504
25123;9;529378.79;5074114.417
25123;10;529416.064;5074190.321
25123;11;529431.425;5074183.77
25123;12;529436.847;5074200.035
25124;1;529471.962;5074227.264
25124;2;529471.284;5074208.514
25124;3;529462.248;5074187.731
25124;4;529412.187;5074212.46
25124;5;529418.286;5074242.054
25124;6;529414.22;5074267.129
25124;7;529453.753;5074277.295
25124;8;529458.723;5074243.861
25124;9;529472.64;5074241.948
25125;1;529414.329;5074267.26
25125;2;529418.38;5074241.854
25125;3;529412.057;5074212.613
25125;4;529396.204;5074218.503
25125;5;529347.861;5074224.603
25125;6;529347.861;5074253.292
25125;7;529365.082;5074258.901
25126;1;529348.365;5074227.953
25126;2;529315.835;5074234.73
25126;3;529314.253;5074244.895
25126;4;529336.618;5074248.51
25126;5;529347.235;5074253.028
25127;1;529316.061;5074234.504
25127;2;529285.338;5074234.278
25127;3;529284.886;5074240.377
25127;4;529314.027;5074244.67
25129;1;529253.318;5074236.322
25129;2;529212.787;5074232.032
25129;3;529231.294;5074287.63
25129;4;529292.246;5074296.601
25129;5;529302.228;5074243.127
25130;1;529327.245;5074302.133
25130;2;529337.695;5074250.13
25130;3;529302.228;5074243.127
25130;4;529292.133;5074296.827
25130;5;529308.843;5074297.392
25131;1;529337.695;5074250.356
25131;2;529327.471;5074302.472
25131;3;529339.89;5074305.069
25131;4;529358.293;5074302.811
25131;5;529366.159;5074259.392
25132;1;529365.933;5074258.94
25132;2;529358.18;5074302.924
25132;3;529363.938;5074302.811
25132;4;529394.986;5074310.601
25132;5;529406.596;5074265.943
25133;1;529406.502;5074266.231
25133;2;529394.986;5074310.375
25133;3;529407.292;5074312.746
25133;4;529419.924;5074268.654
25135;1;529513.683;5074296.463
25135;2;529515.49;5074303.463
25135;3;529517.296;5074310.463
25135;4;529520.118;5074316.221
25135;5;529552.521;5074295.221
25135;6;529561.666;5074304.479
25135;7;529562.231;5074295.56
25135;8;529529.113;5074256.634
25135;9;529500.474;5074276.818
25135;10;529509.619;5074284.496
25136;1;529528.678;5074256.885
25136;2;529531.474;5074247.481
25136;3;529533.874;5074238.361
25136;4;529512.865;5074231.358
25136;5;529493.437;5074233.165
25136;6;529482.142;5074241.749
25136;7;529458.648;5074243.331
25136;8;529454.13;5074277.216
25136;9;529478.302;5074279.927
25136;10;529500.44;5074276.538
25977;1;529461.711;5074320.875
25977;2;529481.807;5074317.149
25977;3;529493.21;5074332.955
25977;4;529520.532;5074316.246
25977;5;529509.807;5074284.521
25977;6;529501.25;5074276.335
25977;7;529476.4;5074280.175
25977;8;529454.262;5074276.56
25977;9;529419.924;5074268.428
25977;10;529407.292;5074312.633
25977;11;529436.76;5074318.843
27169;1;529436.865;5074199.977
27169;2;529431.218;5074183.712
27169;3;529415.856;5074190.715
27169;4;529395.977;5074150.278
27169;5;529332.272;5074166.543
27169;6;529347.181;5074225.278
27169;7;529395.525;5074218.727
27169;8;529411.79;5074212.628
28233;1;529378.762;5074114.871
28233;2;529383.957;5074103.689
28233;3;529389.153;5074092.507
28233;4;529378.244;5074049.024
28233;5;529307.614;5074023.906
28233;6;529227.321;5074102.899
28233;7;529247.662;5074128.212
28233;8;529276.314;5074111.031
28233;9;529296.081;5074098.38
28233;10;529319.349;5074098.606
28233;11;529354.138;5074099.51
