FID_DUSAF6,CN,Polygon,area,area2,proportion
"183962","84","25117",5266.592,168.895,2.694
"184033","75","25135",1764.520,1.956,0.083
"184041","75","25135",1764.520,212.062,9.014
"184041","75","25136",2711.999,897.252,24.813
"184041","75","25124",3676.658,909.912,18.561
"184041","75","25125",2835.006,341.237,9.027
"184041","75","6296",2323.911,4.494,0.145
"184041","75","25977",4549.427,1316.245,21.699
"184041","75","25132",1765.007,62.699,2.664
"184041","75","25133",596.940,117.156,14.720
"184300","90","25110",3307.678,3058.248,83.213
"184300","90","25107",2830.227,2757.321,87.682
"184300","90","28233",8871.000,8796.596,89.245
"184300","90","25117",5266.592,3604.824,61.602
"184300","90","25121",1588.877,919.437,52.080
"184300","90","25122",3913.010,2580.622,59.355
"184300","90","25123",7130.038,974.162,12.297
"184300","90","25108",2432.507,1872.364,69.275
"184300","90","25109",4839.519,2797.466,52.024
"184300","85","25130",1895.389,1491.670,66.895
"184300","85","25131",1497.454,1434.405,81.421
"184300","85","6287",4204.961,4204.961,85.000
"184300","85","27169",4898.001,4898.001,85.000
"184300","85","25110",3307.678,249.431,6.410
"184300","85","25107",2830.227,44.338,1.332
"184300","85","25124",3676.658,2766.746,63.964
"184300","85","25125",2835.006,2493.768,74.769
"184300","85","25126",547.174,547.174,85.000
"184300","85","25127",246.422,246.422,85.000
"184300","85","25119",1874.814,1874.814,85.000
"184300","85","6296",2323.911,586.236,21.442
"184300","85","25977",4549.427,61.167,1.143
"184300","85","25132",1765.007,1363.569,65.667
"184300","85","25133",596.940,113.166,16.114
"184300","85","25135",1764.520,1308.109,63.014
"184300","85","25129",4094.334,1098.066,22.796
"184300","85","25120",3354.086,3354.086,85.000
"184300","85","25121",1588.877,669.441,35.813
"184300","85","25122",3913.010,1332.388,28.943
"184300","85","25123",7130.038,6155.876,73.387
"184300","85","25136",2711.999,1814.747,56.878
"184300","85","25108",2432.507,394.293,13.778
"184300","85","25109",4839.519,2041.660,35.859
"247708","70","28233",8871.000,43.479,0.343
"248253","86","28233",8871.000,30.925,0.300
"248253","86","25117",5266.592,1492.873,24.378
"249199","55","25130",1895.389,403.719,11.715
"249199","55","25107",2830.227,28.568,0.555
"249199","55","6296",2323.911,1733.182,41.019
"249199","55","25977",4549.427,844.047,10.204
"249199","55","25135",1764.520,242.393,7.555
"249199","55","25129",4094.334,2996.269,40.249
"249199","55","25108",2432.507,165.850,3.750
"249199","55","25109",4839.519,0.393,0.004
"324329","81","25131",1497.454,63.049,3.410
"324329","81","25977",4549.427,2327.969,41.448
"324329","81","25132",1765.007,338.739,15.545
"324329","81","25133",596.940,366.618,49.747
